"X.1","X","PLT_CN","INVYR.x","FLDTYPCD","ECO_ID","COUNTYCD.x","LON","LAT","STDAGE","AgeGroup","Carbon_Mg_ha","cv_dbh","VPD","Elevation","MAT","MAP","pH_mean","bdod_mean","clay_mean","nitrogen_mean","FDis","PC1.CWM","PC2.CWM","Shade.tolerance.FDis","Drought.tolerance.FDis","WD_mean_add.FDis","LMA.FDis","Nmass.FDis","Pmass.FDis","Leaf.longevity.FDis","Max.height.FDis","Leaf.FDis","Shade.tolerance.CWM","Drought.tolerance.CWM","WD_mean_add.CWM","LMA.CWM","Nmass.CWM","Pmass.CWM","Leaf.longevity.CWM","Max.height.CWM","Leaf.CWM"
11871,1206,"Plot_11871",2017,"Conifer-Broadleaf Mixed Forest",50701,103,-89.850427,30.278837,13,2,27.9672818754934,0.418126201228068,0.721397849,3,19.5,1526,54.3333333333333,145,342.333333333333,455.666666666667,1.87214401532439,-2.49834010389,1.54554026923112,0.245456804997981,0.714635875391253,0.298393493843387,0.552623764854719,0.882525283464254,0.167872607003302,0.468380789932916,0.159090675534864,1.15773093121454,2.14036804986828,4.08334019223482,0.484,0.115811927980003,13.4343363326513,1.05945872408804,22.9617983121185,33.8375,0.75
11872,1207,"Plot_11872",2013,"Conifer-Broadleaf Mixed Forest",50529,91,-89.848557,31.116087,20,2,71.4205410119677,0.794479721615997,0.811370968,72,18.8,1594,54.6666666666667,143.333333333333,272.333333333333,159,1.85030019715603,-0.572882731239813,1.02167793434333,0.350622024231447,0.620625348005861,0.474318216173066,0.5456742278451,0.393835155744359,0.32859560054747,0.424727046673657,0.544695070025443,1.05786716855773,1.92024390243902,3.31756097560976,0.488048780487805,0.0746501078725668,15.0634859849283,1.2521764432306,12.0631317145335,25.9268292682927,0.219512195121951
11873,1208,"Plot_11873",2019,"Conifer-Broadleaf Mixed Forest",50413,7,-89.839666,32.965972,31,3,61.3046061239045,0.432286187172938,0.769247312,88,16.9,1436,56.6666666666667,153.333333333333,363.666666666667,145.333333333333,2.12012154236429,-0.426996411985928,0.75825855753534,0.482422580828388,0.811213292452686,0.79507976268064,0.443679521393296,0.500405882290701,0.422945788622212,0.336547392585408,0.530481355883876,0.838910945043702,2.43135135135135,3.22594594594595,0.521351351351351,0.0800532342512144,17.2587817964649,1.31408129481932,10.8944840431118,30.2432432432432,0.162162162162162
11874,1209,"Plot_11874",2018,"Conifer-Broadleaf Mixed Forest",50413,15,-89.83882,33.618824,55,4,144.791958773438,0.769116423742771,0.74811828,111,16.5,1429,53.6666666666667,150.333333333333,313,143.333333333333,2.49347846996662,-1.34396204520497,1.42109655227635,0.381677896072531,0.887805031528006,0.433465407684211,0.92969529406981,0.557800130481779,0.38096314538697,0.605678816180238,0.619859937567844,1.49556936904301,2.02470588235294,3.80529411764706,0.486470588235294,0.0973850296293785,13.8158864274098,1.18172751665615,15.9218083949056,26.7352941176471,0.411764705882353
11875,1210,"Plot_11875",2017,"Conifer-Broadleaf Mixed Forest",50529,117,-89.838712,30.884061,45,3,63.6469069582485,0.337409991939696,0.798951613,43,19,1607,50.6666666666667,145,174.666666666667,256.666666666667,2.12440327435434,-0.767513818303096,0.706644763049176,0.679028698849796,0.579837185346508,0.540031937522415,0.455040991793974,0.414851296457176,0.303293737188555,0.486987943829609,0.568462959727553,1.21481825523893,2.25807692307692,3.18153846153846,0.485384615384615,0.076325979567901,14.9558278072894,1.27283305158101,13.1115723652171,27,0.269230769230769
11876,1211,"Plot_11876",2020,"Conifer-Broadleaf Mixed Forest",50413,89,-89.83479,32.829138,32,3,34.6992227412535,0.567902788973699,0.76766129,92,17,1425,54.6666666666667,149,363.333333333333,166.666666666667,2.75735110576665,-2.01690662783195,1.26613378522573,0.540424420696526,1.00576650187868,0.513451867784567,1.08259875699195,0.704437721694761,0.47165125618447,0.57517294347329,0.408731886105342,1.5282048292032,2.264,3.6545,0.4895,0.126487106278121,13.8005416526763,1.20558627437833,18.5882405557366,30.65,0.55
11877,1212,"Plot_11877",2006,"Conifer-Broadleaf Mixed Forest",50413,89,-89.824099,32.612992,43,3,28.8101407162738,0.366165365881158,0.779596774,103,17.3,1404,54.6666666666667,150.333333333333,360.666666666667,124.333333333333,2.24378569340011,-2.06677152633016,1.56717546977921,0.206378637153972,0.887504860342388,0.607251881775876,0.622341774591876,0.558593040109516,0.331801648962926,0.556983861460098,0.500162185245296,1.47275975603483,2.00642857142857,3.90464285714286,0.496785714285714,0.111546400543975,12.90883280644,1.16492579562254,20.0489604529574,31.75,0.607142857142857
11878,1213,"Plot_11878",2020,"Conifer-Broadleaf Mixed Forest",50413,121,-89.823035,32.526217,41,3,82.6732837805428,0.630919089444073,0.780456989,97,17.5,1402,54,149.666666666667,368,123,2.32349276121333,-0.459473900435221,0.816587085662873,0.750659802202371,0.81018134698578,0.796593772863757,0.594452205075944,0.519103779735715,0.383722623060639,0.451079274777061,0.556495016942258,1.0887396185789,2.32965079365079,3.28336507936508,0.510857142857143,0.075175567449404,16.5401809952564,1.34333879770186,12.4454759818734,25.4857142857143,0.228571428571429
11879,1214,"Plot_11879",2022,"Conifer-Broadleaf Mixed Forest",50701,103,-89.815126,30.277981,70,4,55.9418193366863,0.414640336626317,0.730860215,13,19.5,1526,54,142.666666666667,227.333333333333,357,2.20923708865327,-1.46001012094937,1.39672830591074,0.186556960139184,0.851276600415179,0.608966313966096,0.648694190560189,0.609146629947118,0.130998980091013,0.585713640117829,0.335148230224862,1.51213835913736,2.04,3.63142857142857,0.507142857142857,0.0969251341660186,14.0798397256763,1.06506979862243,16.7890466306306,30.7142857142857,0.428571428571429
11880,1215,"Plot_11880",2006,"Conifer-Broadleaf Mixed Forest",50529,109,-89.791169,30.640567,30,2,31.1521002491797,0.729746055625515,0.77061828,34,19.1,1578,52,148,204,252.333333333333,2.45408474045256,-1.51935968112273,1.22992619391438,0.226484245945541,0.907629035761355,0.227155407475371,0.773315297203266,0.609554391746498,0.572200858185835,0.636396058856312,0.717105496604461,1.54364124161939,1.99541203324552,3.70622679482321,0.477,0.0961225105284804,13.5462337038399,1.33878694165528,17.5698175962068,27.4,0.5
